label,branch_length,subfamily,loss_nb,duplication_nb,Notung_count,Ancestral_gene_copy,Birth_rate,Death_rate,Bi_bi,Li_bi
Entosphenus_tridentatus,70.3585,Wnt6,0,0,1,1,0,0,0,0
Entosphenus_tridentatus,70.3585,Wnt7,3,0,3,6,0,0.00710646190581095,0,0.5
Entosphenus_tridentatus,70.3585,Wnt2,1,0,0,1,0,0.0142129238116219,0,1
Entosphenus_tridentatus,70.3585,Wnt5,5,0,3,8,0,0.00888307738226369,0,0.625
Entosphenus_tridentatus,70.3585,Wnt9,2,0,0,2,0,0.0142129238116219,0,1
Entosphenus_tridentatus,70.3585,Wnt10,1,0,0,1,0,0.0142129238116219,0,1
Entosphenus_tridentatus,70.3585,Wnt16,1,0,0,1,0,0.0142129238116219,0,1
Entosphenus_tridentatus,70.3585,Wnt3,1,0,1,2,0,0.00710646190581095,0,0.5
Entosphenus_tridentatus,70.3585,Wnt8,1,0,0,1,0,0.0142129238116219,0,1
Entosphenus_tridentatus,70.3585,Wnt1,1,0,0,1,0,0.0142129238116219,0,1
Entosphenus_tridentatus,70.3585,Wnt11,1,0,0,1,0,0.0142129238116219,0,1
Entosphenus_tridentatus,70.3585,Total,17,0,8,25,0,0.0096647881919029,0,0.68
Eptatretus_burgeri,455,Wnt2,0,0,1,1,0,0,0,0
Eptatretus_burgeri,455,Wnt6,0,0,2,2,0,0,0,0
Eptatretus_burgeri,455,Wnt9,0,0,2,2,0,0,0,0
Eptatretus_burgeri,455,Wnt16,0,0,1,1,0,0,0,0
Eptatretus_burgeri,455,Total,0,0,18,18,0,0,0,0
Eptatretus_burgeri,455,Wnt5,0,0,5,5,0,0,0,0
Eptatretus_burgeri,455,Wnt8,0,0,1,1,0,0,0,0
Eptatretus_burgeri,455,Wnt11,0,0,1,1,0,0,0,0
Eptatretus_burgeri,455,Wnt3,0,0,1,1,0,0,0,0
Eptatretus_burgeri,455,Wnt7,0,0,3,3,0,0,0,0
Eptatretus_burgeri,455,Wnt1,0,0,1,1,0,0,0,0
Lethenteron_camtschaticum,2.2887,Wnt1,1,0,0,1,0,0.436929261152619,0,1
Lethenteron_camtschaticum,2.2887,Wnt10,0,0,1,1,0,0,0,0
Lethenteron_camtschaticum,2.2887,Wnt6,1,0,0,1,0,0.436929261152619,0,1
Lethenteron_camtschaticum,2.2887,Wnt9,2,0,0,2,0,0.436929261152619,0,1
Lethenteron_camtschaticum,2.2887,Total,15,0,10,25,0,0.262157556691572,0,0.6
Lethenteron_camtschaticum,2.2887,Wnt16,1,0,0,1,0,0.436929261152619,0,1
Lethenteron_camtschaticum,2.2887,Wnt5,4,0,4,8,0,0.21846463057631,0,0.5
Lethenteron_camtschaticum,2.2887,Wnt8,1,0,0,1,0,0.436929261152619,0,1
Lethenteron_camtschaticum,2.2887,Wnt11,0,0,1,1,0,0,0,0
Lethenteron_camtschaticum,2.2887,Wnt3,1,0,1,2,0,0.21846463057631,0,0.5
Lethenteron_camtschaticum,2.2887,Wnt7,4,0,2,6,0,0.291286174101746,0,0.666666666666667
Lethenteron_camtschaticum,2.2887,Wnt2,0,0,1,1,0,0,0,0
Lethenteron_reissneri,2.2887,Wnt5,0,7,15,8,0.274657517115556,0,0.628608659422374,0
Lethenteron_reissneri,2.2887,Wnt3,0,0,2,2,0,0,0,0
Lethenteron_reissneri,2.2887,Wnt6,0,0,1,1,0,0,0,0
Lethenteron_reissneri,2.2887,Wnt1,0,0,1,1,0,0,0,0
Lethenteron_reissneri,2.2887,Wnt16,0,0,1,1,0,0,0,0
Lethenteron_reissneri,2.2887,Wnt2,0,0,1,1,0,0,0,0
Lethenteron_reissneri,2.2887,Wnt8,0,0,1,1,0,0,0,0
Lethenteron_reissneri,2.2887,Wnt9,0,0,2,2,0,0,0,0
Lethenteron_reissneri,2.2887,Wnt11,0,1,2,1,0.302856285472078,0,0.693147180559945,0
Lethenteron_reissneri,2.2887,Wnt7,0,12,18,6,0.480015855580945,0,1.09861228866811,0
Lethenteron_reissneri,2.2887,Wnt10,0,0,1,1,0,0,0,0
Lethenteron_reissneri,2.2887,Total,0,20,45,25,0.256821193211045,0,0.587786664902119,0
Node2,361,Wnt1,0,0,1,1,0,0,0,0
Node2,361,Wnt16,0,0,1,1,0,0,0,0
Node2,361,Wnt5,0,2,7,5,0.000932056057122473,0,0.336472236621213,0
Node2,361,Total,0,6,25,19,0.000760212868979946,0,0.27443684570176,0
Node2,361,Wnt11,0,0,1,1,0,0,0,0
Node2,361,Wnt3,0,1,2,1,0.00192007529240982,0,0.693147180559945,0
Node2,361,Wnt9,0,0,2,2,0,0,0,0
Node2,361,Wnt7,0,3,6,3,0.00192007529240982,0,0.693147180559945,0
Node2,361,Wnt10,0,0,1,1,0,0,0,0
Node2,361,Wnt2,0,0,1,1,0,0,0,0
Node2,361,Wnt8,0,0,1,1,0,0,0,0
Node2,361,Wnt6,0,0,2,2,0,0,0,0
Node3,23.6415,Wnt5,0,1,8,7,0.00564817768011854,0,0.133531392624523,0
Node3,23.6415,Wnt16,0,0,1,1,0,0,0,0
Node3,23.6415,Wnt3,0,0,2,2,0,0,0,0
Node3,23.6415,Wnt8,0,0,1,1,0,0,0,0
Node3,23.6415,Wnt11,0,0,1,1,0,0,0,0
Node3,23.6415,Wnt2,0,0,1,1,0,0,0,0
Node3,23.6415,Wnt6,1,0,1,2,0,0.0211492502590783,0,0.5
Node3,23.6415,Wnt9,0,0,2,2,0,0,0,0
Node3,23.6415,Wnt1,0,0,1,1,0,0,0,0
Node3,23.6415,Wnt10,0,0,1,1,0,0,0,0
Node3,23.6415,Wnt7,0,0,6,6,0,0,0,0
