label,branch_length,subfamily,loss_nb,duplication_nb,Notung_count,Ancestral_gene_copy,Birth_rate,Death_rate,Bi_bi,Li_bi
Ambystoma_mexicanum,142.474,Wnt6,0,0,1,1,0,0,0,0
Ambystoma_mexicanum,142.474,Total,1,0,20,21,0,0.00033422973748928,0,0.0476190476190476
Ambystoma_mexicanum,142.474,Wnt16,0,0,1,1,0,0,0,0
Ambystoma_mexicanum,142.474,Wnt8,0,0,2,2,0,0,0,0
Ambystoma_mexicanum,142.474,Wnt4,0,0,2,2,0,0,0,0
Ambystoma_mexicanum,142.474,Wnt9,0,0,2,2,0,0,0,0
Ambystoma_mexicanum,142.474,Wnt5,0,0,2,2,0,0,0,0
Ambystoma_mexicanum,142.474,Wnt10,0,0,2,2,0,0,0,0
Ambystoma_mexicanum,142.474,Wnt2,0,0,2,2,0,0,0,0
Ambystoma_mexicanum,142.474,Wnt3,0,0,1,1,0,0,0,0
Ambystoma_mexicanum,142.474,Wnt11,0,0,2,2,0,0,0,0
Ambystoma_mexicanum,142.474,Wnt7,0,0,3,3,0,0,0,0
Ambystoma_mexicanum,142.474,Wnt1,1,0,0,1,0,0.00701882448727487,0,1
Bombina_bombina,146.678,Wnt3,0,0,2,2,0,0,0,0
Bombina_bombina,146.678,Wnt6,0,0,1,1,0,0,0,0
Bombina_bombina,146.678,Wnt11,0,0,2,2,0,0,0,0
Bombina_bombina,146.678,Wnt5,0,1,3,2,0.00276432122137038,0,0.405465108108164,0
Bombina_bombina,146.678,Wnt2,1,0,1,2,0,0.00340882749969321,0,0.5
Bombina_bombina,146.678,Wnt9,0,0,2,2,0,0,0,0
Bombina_bombina,146.678,Wnt16,0,0,1,1,0,0,0,0
Bombina_bombina,146.678,Wnt7,1,0,3,4,0,0.0017044137498466,0,0.25
Bombina_bombina,146.678,Wnt10,0,0,2,2,0,0,0,0
Bombina_bombina,146.678,Wnt1,0,0,1,1,0,0,0,0
Bombina_bombina,146.678,Total,2,1,21,22,0.000317157417164761,0.000634314834329522,0.0465200156348928,0.0930400312697856
Bombina_bombina,146.678,Wnt8,0,0,2,2,0,0,0,0
Bombina_bombina,146.678,Wnt4,0,0,1,1,0,0,0,0
Bufo_bufo,15.8321,Wnt2,0,0,2,2,0,0,0,0
Bufo_bufo,15.8321,Wnt3,0,0,2,2,0,0,0,0
Bufo_bufo,15.8321,Wnt6,0,0,1,1,0,0,0,0
Bufo_bufo,15.8321,Wnt8,0,0,2,2,0,0,0,0
Bufo_bufo,15.8321,Wnt11,0,0,2,2,0,0,0,0
Bufo_bufo,15.8321,Wnt4,1,0,1,2,0,0.0315814073938391,0,0.5
Bufo_bufo,15.8321,Wnt7,0,0,3,3,0,0,0,0
Bufo_bufo,15.8321,Wnt1,0,0,1,1,0,0,0,0
Bufo_bufo,15.8321,Wnt5,0,0,2,2,0,0,0,0
Bufo_bufo,15.8321,Wnt10,0,0,2,2,0,0,0,0
Bufo_bufo,15.8321,Total,1,0,21,22,0,0.00287103703580355,0,0.0454545454545455
Bufo_bufo,15.8321,Wnt9,0,0,2,2,0,0,0,0
Bufo_bufo,15.8321,Wnt16,0,0,1,1,0,0,0,0
Bufo_gargarizans,15.8321,Wnt7,0,0,3,3,0,0,0,0
Bufo_gargarizans,15.8321,Wnt16,0,0,1,1,0,0,0,0
Bufo_gargarizans,15.8321,Wnt2,0,0,2,2,0,0,0,0
Bufo_gargarizans,15.8321,Wnt3,0,0,2,2,0,0,0,0
Bufo_gargarizans,15.8321,Wnt11,0,0,2,2,0,0,0,0
Bufo_gargarizans,15.8321,Wnt1,0,0,1,1,0,0,0,0
Bufo_gargarizans,15.8321,Wnt6,0,0,1,1,0,0,0,0
Bufo_gargarizans,15.8321,Wnt4,1,0,1,2,0,0.0315814073938391,0,0.5
Bufo_gargarizans,15.8321,Wnt5,0,0,2,2,0,0,0,0
Bufo_gargarizans,15.8321,Wnt9,1,0,1,2,0,0.0315814073938391,0,0.5
Bufo_gargarizans,15.8321,Total,2,0,20,22,0,0.00574207407160711,0,0.0909090909090909
Bufo_gargarizans,15.8321,Wnt8,0,0,2,2,0,0,0,0
Bufo_gargarizans,15.8321,Wnt10,0,0,2,2,0,0,0,0
Bufotes_viridis,29.3043,Total,5,0,18,23,0,0.00741840973330965,0,0.217391304347826
Bufotes_viridis,29.3043,Wnt10,0,0,2,2,0,0,0,0
Bufotes_viridis,29.3043,Wnt1,0,0,1,1,0,0,0,0
Bufotes_viridis,29.3043,Wnt3,1,0,1,2,0,0.0170623423866122,0,0.5
Bufotes_viridis,29.3043,Wnt2,0,0,2,2,0,0,0,0
Bufotes_viridis,29.3043,Wnt9,1,0,1,2,0,0.0170623423866122,0,0.5
Bufotes_viridis,29.3043,Wnt11,0,0,2,2,0,0,0,0
Bufotes_viridis,29.3043,Wnt5,1,0,1,2,0,0.0170623423866122,0,0.5
Bufotes_viridis,29.3043,Wnt4,1,0,1,2,0,0.0170623423866122,0,0.5
Bufotes_viridis,29.3043,Wnt7,0,0,3,3,0,0,0,0
Bufotes_viridis,29.3043,Wnt6,1,0,1,2,0,0.0170623423866122,0,0.5
Bufotes_viridis,29.3043,Wnt16,0,0,1,1,0,0,0,0
Bufotes_viridis,29.3043,Wnt8,0,0,2,2,0,0,0,0
Dendropsophus_ebraccatus,61.2118,Total,5,1,22,26,0.000682278926053335,0.00341139463026668,0.0417635211657916,0.208817605828958
Dendropsophus_ebraccatus,61.2118,Wnt9,1,0,2,3,0,0.00544557313023524,0,0.333333333333333
Dendropsophus_ebraccatus,61.2118,Wnt5,1,0,2,3,0,0.00544557313023524,0,0.333333333333333
Dendropsophus_ebraccatus,61.2118,Wnt11,2,1,3,4,0.00469978129138141,0.00939956258276283,0.287682072451781,0.575364144903562
Dendropsophus_ebraccatus,61.2118,Wnt16,0,0,1,1,0,0,0,0
Dendropsophus_ebraccatus,61.2118,Wnt8,1,0,2,3,0,0.00544557313023524,0,0.333333333333333
Dendropsophus_ebraccatus,61.2118,Wnt1,0,0,1,1,0,0,0,0
Dendropsophus_ebraccatus,61.2118,Wnt4,0,0,1,1,0,0,0,0
Dendropsophus_ebraccatus,61.2118,Wnt7,0,0,3,3,0,0,0,0
Dendropsophus_ebraccatus,61.2118,Wnt10,0,0,2,2,0,0,0,0
Dendropsophus_ebraccatus,61.2118,Wnt3,0,0,2,2,0,0,0,0
Dendropsophus_ebraccatus,61.2118,Wnt6,0,0,1,1,0,0,0,0
Dendropsophus_ebraccatus,61.2118,Wnt2,0,0,2,2,0,0,0,0
Discoglossus_pictus,146.678,Wnt5,0,0,2,2,0,0,0,0
Discoglossus_pictus,146.678,Total,2,0,20,22,0,0.000619786818126037,0,0.0909090909090909
Discoglossus_pictus,146.678,Wnt8,0,0,2,2,0,0,0,0
Discoglossus_pictus,146.678,Wnt1,0,0,1,1,0,0,0,0
Discoglossus_pictus,146.678,Wnt7,1,0,3,4,0,0.0017044137498466,0,0.25
Discoglossus_pictus,146.678,Wnt2,0,0,2,2,0,0,0,0
Discoglossus_pictus,146.678,Wnt10,0,0,2,2,0,0,0,0
Discoglossus_pictus,146.678,Wnt4,0,0,1,1,0,0,0,0
Discoglossus_pictus,146.678,Wnt16,0,0,1,1,0,0,0,0
Discoglossus_pictus,146.678,Wnt11,0,0,2,2,0,0,0,0
Discoglossus_pictus,146.678,Wnt3,0,0,2,2,0,0,0,0
Discoglossus_pictus,146.678,Wnt6,0,0,1,1,0,0,0,0
Discoglossus_pictus,146.678,Wnt9,1,0,1,2,0,0.00340882749969321,0,0.5
Gastrophryne_carolinensis,123.431,Wnt2,0,0,2,2,0,0,0,0
Gastrophryne_carolinensis,123.431,Total,1,0,21,22,0,0.000368258747434157,0,0.0454545454545455
Gastrophryne_carolinensis,123.431,Wnt6,0,0,1,1,0,0,0,0
Gastrophryne_carolinensis,123.431,Wnt8,0,0,2,2,0,0,0,0
Gastrophryne_carolinensis,123.431,Wnt3,0,0,2,2,0,0,0,0
Gastrophryne_carolinensis,123.431,Wnt4,0,0,1,1,0,0,0,0
Gastrophryne_carolinensis,123.431,Wnt1,0,0,1,1,0,0,0,0
Gastrophryne_carolinensis,123.431,Wnt7,1,0,3,4,0,0.00202542311088786,0,0.25
Gastrophryne_carolinensis,123.431,Wnt16,0,0,1,1,0,0,0,0
Gastrophryne_carolinensis,123.431,Wnt10,0,0,2,2,0,0,0,0
Gastrophryne_carolinensis,123.431,Wnt9,0,0,2,2,0,0,0,0
Gastrophryne_carolinensis,123.431,Wnt11,0,0,2,2,0,0,0,0
Gastrophryne_carolinensis,123.431,Wnt5,0,0,2,2,0,0,0,0
Geotrypetes_seraphini,62.4802,Wnt2,0,0,2,2,0,0,0,0
Geotrypetes_seraphini,62.4802,Total,1,0,21,22,0,0.000727503200286578,0,0.0454545454545455
Geotrypetes_seraphini,62.4802,Wnt10,0,0,2,2,0,0,0,0
Geotrypetes_seraphini,62.4802,Wnt6,0,0,1,1,0,0,0,0
Geotrypetes_seraphini,62.4802,Wnt4,0,0,2,2,0,0,0,0
Geotrypetes_seraphini,62.4802,Wnt11,0,0,2,2,0,0,0,0
Geotrypetes_seraphini,62.4802,Wnt7,0,0,3,3,0,0,0,0
Geotrypetes_seraphini,62.4802,Wnt9,0,0,2,2,0,0,0,0
Geotrypetes_seraphini,62.4802,Wnt5,0,0,2,2,0,0,0,0
Geotrypetes_seraphini,62.4802,Wnt16,0,0,1,1,0,0,0,0
Geotrypetes_seraphini,62.4802,Wnt1,0,0,1,1,0,0,0,0
Geotrypetes_seraphini,62.4802,Wnt3,1,0,1,2,0,0.00800253520315236,0,0.5
Geotrypetes_seraphini,62.4802,Wnt8,0,0,2,2,0,0,0,0
Glandirana_rugosa,45.9981,Wnt6,1,0,0,1,0,0.0217400283924771,0,1
Glandirana_rugosa,45.9981,Total,10,0,18,28,0,0.0077642958544561,0,0.357142857142857
Glandirana_rugosa,45.9981,Wnt5,1,0,2,3,0,0.00724667613082569,0,0.333333333333333
Glandirana_rugosa,45.9981,Wnt8,0,0,2,2,0,0,0,0
Glandirana_rugosa,45.9981,Wnt3,0,0,2,2,0,0,0,0
Glandirana_rugosa,45.9981,Wnt9,0,0,2,2,0,0,0,0
Glandirana_rugosa,45.9981,Wnt16,0,0,1,1,0,0,0,0
Glandirana_rugosa,45.9981,Wnt11,0,0,2,2,0,0,0,0
Glandirana_rugosa,45.9981,Wnt10,2,0,2,4,0,0.0108700141962385,0,0.5
Glandirana_rugosa,45.9981,Wnt2,4,0,1,5,0,0.0173920227139817,0,0.8
Glandirana_rugosa,45.9981,Wnt4,1,0,1,2,0,0.0108700141962385,0,0.5
Glandirana_rugosa,45.9981,Wnt1,0,0,1,1,0,0,0,0
Glandirana_rugosa,45.9981,Wnt7,1,0,2,3,0,0.00724667613082569,0,0.333333333333333
Hyla_sarda,61.2118,Wnt10,0,0,2,2,0,0,0,0
Hyla_sarda,61.2118,Wnt1,0,0,1,1,0,0,0,0
Hyla_sarda,61.2118,Wnt2,0,0,2,2,0,0,0,0
Hyla_sarda,61.2118,Wnt16,0,0,1,1,0,0,0,0
Hyla_sarda,61.2118,Total,5,0,21,26,0,0.00314167680590495,0,0.192307692307692
Hyla_sarda,61.2118,Wnt11,2,0,2,4,0,0.00816835969535286,0,0.5
Hyla_sarda,61.2118,Wnt7,0,0,3,3,0,0,0,0
Hyla_sarda,61.2118,Wnt3,0,0,2,2,0,0,0,0
Hyla_sarda,61.2118,Wnt8,1,0,2,3,0,0.00544557313023524,0,0.333333333333333
Hyla_sarda,61.2118,Wnt5,1,0,2,3,0,0.00544557313023524,0,0.333333333333333
Hyla_sarda,61.2118,Wnt9,1,0,2,3,0,0.00544557313023524,0,0.333333333333333
Hyla_sarda,61.2118,Wnt6,0,0,1,1,0,0,0,0
Hyla_sarda,61.2118,Wnt4,0,0,1,1,0,0,0,0
Hymenochirus_boettgeri,137.786,Wnt9,1,0,1,2,0,0.00362881569970824,0,0.5
Hymenochirus_boettgeri,137.786,Wnt5,0,0,2,2,0,0,0,0
Hymenochirus_boettgeri,137.786,Wnt10,0,0,2,2,0,0,0,0
Hymenochirus_boettgeri,137.786,Wnt16,0,0,1,1,0,0,0,0
Hymenochirus_boettgeri,137.786,Wnt4,0,0,1,1,0,0,0,0
Hymenochirus_boettgeri,137.786,Total,2,0,19,21,0,0.000691202990420618,0,0.0952380952380952
Hymenochirus_boettgeri,137.786,Wnt2,0,0,2,2,0,0,0,0
Hymenochirus_boettgeri,137.786,Wnt7,0,0,3,3,0,0,0,0
Hymenochirus_boettgeri,137.786,Wnt8,0,0,2,2,0,0,0,0
Hymenochirus_boettgeri,137.786,Wnt6,0,0,1,1,0,0,0,0
Hymenochirus_boettgeri,137.786,Wnt11,1,0,1,2,0,0.00362881569970824,0,0.5
Hymenochirus_boettgeri,137.786,Wnt1,0,0,1,1,0,0,0,0
Hymenochirus_boettgeri,137.786,Wnt3,0,0,2,2,0,0,0,0
Leptobrachium_ailaonicum,11.2913,Wnt16,0,0,1,1,0,0,0,0
Leptobrachium_ailaonicum,11.2913,Wnt8,0,0,2,2,0,0,0,0
Leptobrachium_ailaonicum,11.2913,Wnt5,1,0,1,2,0,0.0442818807400388,0,0.5
Leptobrachium_ailaonicum,11.2913,Wnt1,0,0,1,1,0,0,0,0
Leptobrachium_ailaonicum,11.2913,Wnt11,1,0,1,2,0,0.0442818807400388,0,0.5
Leptobrachium_ailaonicum,11.2913,Wnt7,2,0,1,3,0,0.0590425076533851,0,0.666666666666667
Leptobrachium_ailaonicum,11.2913,Wnt3,0,0,2,2,0,0,0,0
Leptobrachium_ailaonicum,11.2913,Total,5,0,16,21,0,0.0210866098762089,0,0.238095238095238
Leptobrachium_ailaonicum,11.2913,Wnt9,0,0,2,2,0,0,0,0
Leptobrachium_ailaonicum,11.2913,Wnt10,1,0,1,2,0,0.0442818807400388,0,0.5
Leptobrachium_ailaonicum,11.2913,Wnt2,0,0,2,2,0,0,0,0
Leptobrachium_ailaonicum,11.2913,Wnt6,0,0,1,1,0,0,0,0
Leptobrachium_ailaonicum,11.2913,Wnt4,0,0,1,1,0,0,0,0
Leptobrachium_leishanense,11.2913,Wnt9,0,0,2,2,0,0,0,0
Leptobrachium_leishanense,11.2913,Wnt5,0,0,2,2,0,0,0,0
Leptobrachium_leishanense,11.2913,Wnt8,0,0,2,2,0,0,0,0
Leptobrachium_leishanense,11.2913,Wnt10,0,0,2,2,0,0,0,0
Leptobrachium_leishanense,11.2913,Wnt11,0,0,2,2,0,0,0,0
Leptobrachium_leishanense,11.2913,Wnt2,0,0,2,2,0,0,0,0
Leptobrachium_leishanense,11.2913,Wnt3,0,0,2,2,0,0,0,0
Leptobrachium_leishanense,11.2913,Wnt16,0,0,1,1,0,0,0,0
Leptobrachium_leishanense,11.2913,Wnt1,0,0,1,1,0,0,0,0
Leptobrachium_leishanense,11.2913,Wnt4,0,0,1,1,0,0,0,0
Leptobrachium_leishanense,11.2913,Wnt7,0,0,3,3,0,0,0,0
Leptobrachium_leishanense,11.2913,Wnt6,0,0,1,1,0,0,0,0
Leptobrachium_leishanense,11.2913,Total,0,0,21,21,0,0,0,0
Leptodactylus_fallax,29.8281,Wnt16,0,0,1,1,0,0,0,0
Leptodactylus_fallax,29.8281,Wnt1,0,0,1,1,0,0,0,0
Leptodactylus_fallax,29.8281,Total,3,0,18,21,0,0.00478934772436538,0,0.142857142857143
Leptodactylus_fallax,29.8281,Wnt5,0,0,2,2,0,0,0,0
Leptodactylus_fallax,29.8281,Wnt8,0,0,2,2,0,0,0,0
Leptodactylus_fallax,29.8281,Wnt10,0,0,2,2,0,0,0,0
Leptodactylus_fallax,29.8281,Wnt6,1,0,0,1,0,0.0335254340705576,0,1
Leptodactylus_fallax,29.8281,Wnt7,0,0,3,3,0,0,0,0
Leptodactylus_fallax,29.8281,Wnt2,1,0,1,2,0,0.0167627170352788,0,0.5
Leptodactylus_fallax,29.8281,Wnt3,0,0,2,2,0,0,0,0
Leptodactylus_fallax,29.8281,Wnt11,0,0,2,2,0,0,0,0
Leptodactylus_fallax,29.8281,Wnt4,0,0,1,1,0,0,0,0
Leptodactylus_fallax,29.8281,Wnt9,1,0,1,2,0,0.0167627170352788,0,0.5
Leptodactylus_fuscus,29.8281,Wnt1,0,0,1,1,0,0,0,0
Leptodactylus_fuscus,29.8281,Wnt2,0,0,2,2,0,0,0,0
Leptodactylus_fuscus,29.8281,Wnt9,0,0,2,2,0,0,0,0
Leptodactylus_fuscus,29.8281,Wnt3,0,0,2,2,0,0,0,0
Leptodactylus_fuscus,29.8281,Wnt6,0,0,1,1,0,0,0,0
Leptodactylus_fuscus,29.8281,Total,0,0,21,21,0,0,0,0
Leptodactylus_fuscus,29.8281,Wnt11,0,0,2,2,0,0,0,0
Leptodactylus_fuscus,29.8281,Wnt4,0,0,1,1,0,0,0,0
Leptodactylus_fuscus,29.8281,Wnt8,0,0,2,2,0,0,0,0
Leptodactylus_fuscus,29.8281,Wnt10,0,0,2,2,0,0,0,0
Leptodactylus_fuscus,29.8281,Wnt5,0,0,2,2,0,0,0,0
Leptodactylus_fuscus,29.8281,Wnt7,0,0,3,3,0,0,0,0
Leptodactylus_fuscus,29.8281,Wnt16,0,0,1,1,0,0,0,0
Lithobates_sylvaticus,34.2488,Wnt8,0,0,2,2,0,0,0,0
Lithobates_sylvaticus,34.2488,Wnt3,1,0,2,3,0,0.00973270109707007,0,0.333333333333333
Lithobates_sylvaticus,34.2488,Wnt5,1,0,2,3,0,0.00973270109707007,0,0.333333333333333
Lithobates_sylvaticus,34.2488,Total,11,0,20,31,0,0.010360617296881,0,0.354838709677419
Lithobates_sylvaticus,34.2488,Wnt16,0,0,1,1,0,0,0,0
Lithobates_sylvaticus,34.2488,Wnt7,0,0,3,3,0,0,0,0
Lithobates_sylvaticus,34.2488,Wnt9,1,0,2,3,0,0.00973270109707007,0,0.333333333333333
Lithobates_sylvaticus,34.2488,Wnt1,1,0,0,1,0,0.0291981032912102,0,1
Lithobates_sylvaticus,34.2488,Wnt10,1,0,2,3,0,0.00973270109707007,0,0.333333333333333
Lithobates_sylvaticus,34.2488,Wnt11,1,0,2,3,0,0.00973270109707007,0,0.333333333333333
Lithobates_sylvaticus,34.2488,Wnt2,3,0,2,5,0,0.0175188619747261,0,0.6
Lithobates_sylvaticus,34.2488,Wnt4,1,0,1,2,0,0.0145990516456051,0,0.5
Lithobates_sylvaticus,34.2488,Wnt6,1,0,1,2,0,0.0145990516456051,0,0.5
Microcaecilia_unicolor,62.4802,Wnt2,0,0,2,2,0,0,0,0
Microcaecilia_unicolor,62.4802,Wnt8,0,0,2,2,0,0,0,0
Microcaecilia_unicolor,62.4802,Wnt5,0,0,2,2,0,0,0,0
Microcaecilia_unicolor,62.4802,Wnt9,1,0,1,2,0,0.00800253520315236,0,0.5
Microcaecilia_unicolor,62.4802,Wnt1,0,0,1,1,0,0,0,0
Microcaecilia_unicolor,62.4802,Wnt7,1,0,2,3,0,0.00533502346876824,0,0.333333333333333
Microcaecilia_unicolor,62.4802,Wnt6,0,0,1,1,0,0,0,0
Microcaecilia_unicolor,62.4802,Wnt10,0,0,2,2,0,0,0,0
Microcaecilia_unicolor,62.4802,Wnt4,0,0,2,2,0,0,0,0
Microcaecilia_unicolor,62.4802,Wnt11,1,0,1,2,0,0.00800253520315236,0,0.5
Microcaecilia_unicolor,62.4802,Total,4,0,18,22,0,0.00291001280114631,0,0.181818181818182
Microcaecilia_unicolor,62.4802,Wnt16,0,0,1,1,0,0,0,0
Microcaecilia_unicolor,62.4802,Wnt3,1,0,1,2,0,0.00800253520315236,0,0.5
Nanorana_parkeri,79.1471,Wnt8,0,0,2,2,0,0,0,0
Nanorana_parkeri,79.1471,Wnt16,0,0,1,1,0,0,0,0
Nanorana_parkeri,79.1471,Wnt10,1,0,1,2,0,0.0063173508568223,0,0.5
Nanorana_parkeri,79.1471,Wnt11,0,0,2,2,0,0,0,0
Nanorana_parkeri,79.1471,Wnt2,0,0,2,2,0,0,0,0
Nanorana_parkeri,79.1471,Wnt1,0,0,1,1,0,0,0,0
