label,branch_length,subfamily,loss_nb,duplication_nb,Notung_count,Ancestral_gene_copy,Birth_rate,Death_rate,Bi_bi,Li_bi
Accipiter_castanilius,10.4768,Wnt9,3,0,2,5,0,0.0572693952351863,0,0.6
Accipiter_castanilius,10.4768,Wnt5,3,0,1,4,0,0.0715867440439829,0,0.75
Accipiter_castanilius,10.4768,Wnt7,2,0,2,4,0,0.0477244960293219,0,0.5
Accipiter_castanilius,10.4768,Wnt2,4,0,2,6,0,0.0636326613724292,0,0.666666666666667
Accipiter_castanilius,10.4768,Wnt6,2,0,1,3,0,0.0636326613724292,0,0.666666666666667
Accipiter_castanilius,10.4768,Total,30,0,18,48,0,0.0596556200366524,0,0.625
Accipiter_castanilius,10.4768,Wnt8,4,0,2,6,0,0.0636326613724292,0,0.666666666666667
Accipiter_castanilius,10.4768,Wnt3,3,0,2,5,0,0.0572693952351863,0,0.6
Accipiter_castanilius,10.4768,Wnt10,1,0,0,1,0,0.0954489920586439,0,1
Accipiter_castanilius,10.4768,Wnt16,1,0,1,2,0,0.0477244960293219,0,0.5
Accipiter_castanilius,10.4768,Wnt11,2,0,2,4,0,0.0477244960293219,0,0.5
Accipiter_castanilius,10.4768,Wnt1,2,0,1,3,0,0.0636326613724292,0,0.666666666666667
Accipiter_castanilius,10.4768,Wnt4,3,0,2,5,0,0.0572693952351863,0,0.6
Accipiter_cirrocephalus,2.93186,Wnt8,1,0,2,3,0,0.113693468764993,0,0.333333333333333
Accipiter_cirrocephalus,2.93186,Wnt6,0,0,1,1,0,0,0,0
Accipiter_cirrocephalus,2.93186,Wnt1,1,0,1,2,0,0.17054020314749,0,0.5
Accipiter_cirrocephalus,2.93186,Wnt9,1,0,2,3,0,0.113693468764993,0,0.333333333333333
Accipiter_cirrocephalus,2.93186,Wnt10,1,0,0,1,0,0.34108040629498,0,1
Accipiter_cirrocephalus,2.93186,Wnt16,1,0,1,2,0,0.17054020314749,0,0.5
Accipiter_cirrocephalus,2.93186,Wnt7,0,0,2,2,0,0,0,0
Accipiter_cirrocephalus,2.93186,Wnt11,1,0,2,3,0,0.113693468764993,0,0.333333333333333
Accipiter_cirrocephalus,2.93186,Wnt2,2,0,2,4,0,0.17054020314749,0,0.5
Accipiter_cirrocephalus,2.93186,Wnt5,0,0,2,2,0,0,0,0
Accipiter_cirrocephalus,2.93186,Wnt3,2,0,1,3,0,0.227386937529987,0,0.666666666666667
Accipiter_cirrocephalus,2.93186,Wnt4,2,0,2,4,0,0.17054020314749,0,0.5
Accipiter_cirrocephalus,2.93186,Total,12,0,18,30,0,0.136432162517992,0,0.4
Accipiter_cooperii,12.9673,Wnt1,1,0,1,2,0,0.0385585279896355,0,0.5
Accipiter_cooperii,12.9673,Wnt11,3,0,2,5,0,0.0462702335875626,0,0.6
Accipiter_cooperii,12.9673,Wnt3,2,0,2,4,0,0.0385585279896355,0,0.5
Accipiter_cooperii,12.9673,Wnt6,1,0,0,1,0,0.0771170559792709,0,1
Accipiter_cooperii,12.9673,Wnt16,2,0,0,2,0,0.0771170559792709,0,1
Accipiter_cooperii,12.9673,Wnt4,2,0,2,4,0,0.0385585279896355,0,0.5
Accipiter_cooperii,12.9673,Wnt8,1,0,2,3,0,0.0257056853264236,0,0.333333333333333
Accipiter_cooperii,12.9673,Wnt9,1,0,2,3,0,0.0257056853264236,0,0.333333333333333
Accipiter_cooperii,12.9673,Wnt2,2,0,2,4,0,0.0385585279896355,0,0.5
Accipiter_cooperii,12.9673,Total,17,0,17,34,0,0.0385585279896355,0,0.5
Accipiter_cooperii,12.9673,Wnt10,0,0,1,1,0,0,0,0
Accipiter_cooperii,12.9673,Wnt7,1,0,2,3,0,0.0257056853264236,0,0.333333333333333
Accipiter_cooperii,12.9673,Wnt5,1,0,1,2,0,0.0385585279896355,0,0.5
Accipiter_erythropus,5.01874,Wnt7,3,0,1,4,0,0.149439899257583,0,0.75
Accipiter_erythropus,5.01874,Wnt2,4,0,1,5,0,0.159402559208088,0,0.8
Accipiter_erythropus,5.01874,Wnt5,1,0,2,3,0,0.06641773300337,0,0.333333333333333
Accipiter_erythropus,5.01874,Wnt8,1,0,2,3,0,0.06641773300337,0,0.333333333333333
Accipiter_erythropus,5.01874,Wnt6,1,0,1,2,0,0.099626599505055,0,0.5
Accipiter_erythropus,5.01874,Wnt11,2,0,1,3,0,0.13283546600674,0,0.666666666666667
Accipiter_erythropus,5.01874,Wnt16,2,0,0,2,0,0.19925319901011,0,1
Accipiter_erythropus,5.01874,Wnt10,1,0,0,1,0,0.19925319901011,0,1
Accipiter_erythropus,5.01874,Wnt1,1,0,1,2,0,0.099626599505055,0,0.5
Accipiter_erythropus,5.01874,Wnt9,2,0,2,4,0,0.099626599505055,0,0.5
Accipiter_erythropus,5.01874,Wnt4,3,0,2,5,0,0.119551919406066,0,0.6
Accipiter_erythropus,5.01874,Total,24,0,15,39,0,0.122617353236991,0,0.615384615384615
Accipiter_erythropus,5.01874,Wnt3,3,0,2,5,0,0.119551919406066,0,0.6
Accipiter_fasciatus,2.93186,Wnt7,1,0,1,2,0,0.17054020314749,0,0.5
Accipiter_fasciatus,2.93186,Wnt11,1,0,2,3,0,0.113693468764993,0,0.333333333333333
Accipiter_fasciatus,2.93186,Total,12,0,18,30,0,0.136432162517992,0,0.4
Accipiter_fasciatus,2.93186,Wnt10,0,0,1,1,0,0,0,0
Accipiter_fasciatus,2.93186,Wnt3,1,0,2,3,0,0.113693468764993,0,0.333333333333333
Accipiter_fasciatus,2.93186,Wnt16,1,0,1,2,0,0.17054020314749,0,0.5
Accipiter_fasciatus,2.93186,Wnt1,1,0,1,2,0,0.17054020314749,0,0.5
Accipiter_fasciatus,2.93186,Wnt9,1,0,2,3,0,0.113693468764993,0,0.333333333333333
Accipiter_fasciatus,2.93186,Wnt4,2,0,2,4,0,0.17054020314749,0,0.5
Accipiter_fasciatus,2.93186,Wnt8,1,0,2,3,0,0.113693468764993,0,0.333333333333333
Accipiter_fasciatus,2.93186,Wnt5,1,0,1,2,0,0.17054020314749,0,0.5
Accipiter_fasciatus,2.93186,Wnt6,0,0,1,1,0,0,0,0
Accipiter_fasciatus,2.93186,Wnt2,2,0,2,4,0,0.17054020314749,0,0.5
Accipiter_gentilis,2.14508,Wnt6,0,0,1,1,0,0,0,0
Accipiter_gentilis,2.14508,Wnt1,0,0,1,1,0,0,0,0
Accipiter_gentilis,2.14508,Wnt2,0,0,2,2,0,0,0,0
Accipiter_gentilis,2.14508,Total,5,0,18,23,0,0.101344147699772,0,0.217391304347826
Accipiter_gentilis,2.14508,Wnt4,0,0,2,2,0,0,0,0
Accipiter_gentilis,2.14508,Wnt8,0,0,2,2,0,0,0,0
Accipiter_gentilis,2.14508,Wnt7,1,0,2,3,0,0.155394359806316,0,0.333333333333333
Accipiter_gentilis,2.14508,Wnt9,0,0,2,2,0,0,0,0
Accipiter_gentilis,2.14508,Wnt5,0,0,2,2,0,0,0,0
Accipiter_gentilis,2.14508,Wnt16,1,0,0,1,0,0.466183079418949,0,1
Accipiter_gentilis,2.14508,Wnt3,1,0,2,3,0,0.155394359806316,0,0.333333333333333
Accipiter_gentilis,2.14508,Wnt11,2,0,2,4,0,0.233091539709475,0,0.5
