label,branch_length,subfamily,loss_nb,duplication_nb,Notung_count,Ancestral_gene_copy,Birth_rate,Death_rate,Bi_bi,Li_bi
Acinonyx_jubatus,6.55636,Wnt16,0,0,1,1,0,0,0,0
Acinonyx_jubatus,6.55636,Wnt6,1,0,1,2,0,0.0762618282095553,0,0.5
Acinonyx_jubatus,6.55636,Wnt9,1,0,2,3,0,0.0508412188063702,0,0.333333333333333
Acinonyx_jubatus,6.55636,Wnt2,3,0,2,5,0,0.0915141938514664,0,0.6
Acinonyx_jubatus,6.55636,Wnt7,2,0,2,4,0,0.0762618282095553,0,0.5
Acinonyx_jubatus,6.55636,Wnt1,1,0,1,2,0,0.0762618282095553,0,0.5
Acinonyx_jubatus,6.55636,Wnt4,1,0,1,2,0,0.0762618282095553,0,0.5
Acinonyx_jubatus,6.55636,Wnt11,1,0,1,2,0,0.0762618282095553,0,0.5
Acinonyx_jubatus,6.55636,Wnt8,1,0,2,3,0,0.0508412188063702,0,0.333333333333333
Acinonyx_jubatus,6.55636,Wnt3,2,0,2,4,0,0.0762618282095553,0,0.5
Acinonyx_jubatus,6.55636,Wnt5,0,0,2,2,0,0,0,0
Acinonyx_jubatus,6.55636,Total,14,0,19,33,0,0.0647070057535621,0,0.424242424242424
Acinonyx_jubatus,6.55636,Wnt10,1,0,2,3,0,0.0508412188063702,0,0.333333333333333
Acomys_cahirinus,2.048,Wnt11,1,0,1,2,0,0.244140625,0,0.5
Acomys_cahirinus,2.048,Total,11,0,19,30,0,0.179036458333333,0,0.366666666666667
Acomys_cahirinus,2.048,Wnt9,2,0,2,4,0,0.244140625,0,0.5
Acomys_cahirinus,2.048,Wnt5,1,0,2,3,0,0.162760416666667,0,0.333333333333333
Acomys_cahirinus,2.048,Wnt7,2,0,2,4,0,0.244140625,0,0.5
Acomys_cahirinus,2.048,Wnt8,0,0,2,2,0,0,0,0
Acomys_cahirinus,2.048,Wnt16,0,0,1,1,0,0,0,0
Acomys_cahirinus,2.048,Wnt6,0,0,1,1,0,0,0,0
Acomys_cahirinus,2.048,Wnt3,2,0,2,4,0,0.244140625,0,0.5
Acomys_cahirinus,2.048,Wnt2,2,0,2,4,0,0.244140625,0,0.5
Acomys_cahirinus,2.048,Wnt10,0,0,2,2,0,0,0,0
Acomys_cahirinus,2.048,Wnt4,0,0,1,1,0,0,0,0
Acomys_cahirinus,2.048,Wnt1,1,0,1,2,0,0.244140625,0,0.5
Acomys_dimidiatus,2.048,Wnt6,0,0,1,1,0,0,0,0
Acomys_dimidiatus,2.048,Wnt11,1,0,1,2,0,0.244140625,0,0.5
Acomys_dimidiatus,2.048,Wnt2,2,0,2,4,0,0.244140625,0,0.5
Acomys_dimidiatus,2.048,Wnt1,1,0,1,2,0,0.244140625,0,0.5
Acomys_dimidiatus,2.048,Wnt4,0,0,1,1,0,0,0,0
Acomys_dimidiatus,2.048,Wnt10,0,0,2,2,0,0,0,0
Acomys_dimidiatus,2.048,Wnt16,0,0,1,1,0,0,0,0
Acomys_dimidiatus,2.048,Wnt8,0,0,2,2,0,0,0,0
Acomys_dimidiatus,2.048,Wnt3,2,0,2,4,0,0.244140625,0,0.5
Acomys_dimidiatus,2.048,Wnt9,2,0,2,4,0,0.244140625,0,0.5
Acomys_dimidiatus,2.048,Wnt7,2,0,2,4,0,0.244140625,0,0.5
Acomys_dimidiatus,2.048,Total,11,0,19,30,0,0.179036458333333,0,0.366666666666667
Acomys_dimidiatus,2.048,Wnt5,1,0,2,3,0,0.162760416666667,0,0.333333333333333
Acomys_kempi,6.66448,Wnt11,1,0,1,2,0,0.0750246080714474,0,0.5
Acomys_kempi,6.66448,Wnt3,2,0,2,4,0,0.0750246080714474,0,0.5
Acomys_kempi,6.66448,Wnt8,1,0,2,3,0,0.050016405380965,0,0.333333333333333
Acomys_kempi,6.66448,Wnt7,2,0,2,4,0,0.0750246080714474,0,0.5
Acomys_kempi,6.66448,Wnt4,0,0,1,1,0,0,0,0
Acomys_kempi,6.66448,Wnt9,2,0,2,4,0,0.0750246080714474,0,0.5
Acomys_kempi,6.66448,Wnt2,2,0,2,4,0,0.0750246080714474,0,0.5
Acomys_kempi,6.66448,Wnt6,0,0,1,1,0,0,0,0
Acomys_kempi,6.66448,Wnt16,0,0,1,1,0,0,0,0
Acomys_kempi,6.66448,Total,13,0,19,32,0,0.060957494058051,0,0.40625
Acomys_kempi,6.66448,Wnt10,1,0,2,3,0,0.050016405380965,0,0.333333333333333
Acomys_kempi,6.66448,Wnt1,1,0,1,2,0,0.0750246080714474,0,0.5
Acomys_kempi,6.66448,Wnt5,1,0,2,3,0,0.050016405380965,0,0.333333333333333
Acomys_percivali,11.9685,Wnt9,2,0,2,4,0,0.0417763295316873,0,0.5
Acomys_percivali,11.9685,Wnt4,1,0,1,2,0,0.0417763295316873,0,0.5
Acomys_percivali,11.9685,Wnt10,2,0,2,4,0,0.0417763295316873,0,0.5
Acomys_percivali,11.9685,Wnt8,3,0,2,5,0,0.0501315954380248,0,0.6
Acomys_percivali,11.9685,Wnt1,0,0,1,1,0,0,0,0
Acomys_percivali,11.9685,Wnt7,2,0,2,4,0,0.0417763295316873,0,0.5
Acomys_percivali,11.9685,Wnt2,2,0,2,4,0,0.0417763295316873,0,0.5
Acomys_percivali,11.9685,Wnt5,1,0,2,3,0,0.0278508863544582,0,0.333333333333333
Acomys_percivali,11.9685,Wnt6,0,0,1,1,0,0,0,0
Acomys_percivali,11.9685,Wnt16,1,0,1,2,0,0.0417763295316873,0,0.5
Acomys_percivali,11.9685,Wnt11,1,0,1,2,0,0.0417763295316873,0,0.5
Acomys_percivali,11.9685,Total,16,0,19,35,0,0.0381955012861141,0,0.457142857142857
Acomys_percivali,11.9685,Wnt3,1,0,2,3,0,0.0278508863544582,0,0.333333333333333
Acomys_russatus,12.2862,Wnt5,1,0,2,3,0,0.027130710336258,0,0.333333333333333
Acomys_russatus,12.2862,Wnt1,0,0,1,1,0,0,0,0
Acomys_russatus,12.2862,Wnt7,3,0,1,4,0,0.0610440982565806,0,0.75
Acomys_russatus,12.2862,Wnt6,0,0,1,1,0,0,0,0
Acomys_russatus,12.2862,Wnt2,2,0,2,4,0,0.040696065504387,0,0.5
Acomys_russatus,12.2862,Wnt10,3,0,2,5,0,0.0488352786052644,0,0.6
Acomys_russatus,12.2862,Wnt9,2,0,2,4,0,0.040696065504387,0,0.5
Acomys_russatus,12.2862,Wnt11,1,0,1,2,0,0.040696065504387,0,0.5
Acomys_russatus,12.2862,Wnt4,1,0,1,2,0,0.040696065504387,0,0.5
Acomys_russatus,12.2862,Wnt8,3,0,2,5,0,0.0488352786052644,0,0.6
Acomys_russatus,12.2862,Total,18,0,18,36,0,0.040696065504387,0,0.5
Acomys_russatus,12.2862,Wnt16,1,0,1,2,0,0.040696065504387,0,0.5
Acomys_russatus,12.2862,Wnt3,1,0,2,3,0,0.027130710336258,0,0.333333333333333
Addax_nasomaculatus,5.59765,Wnt7,2,0,1,3,0,0.119097597503714,0,0.666666666666667
Addax_nasomaculatus,5.59765,Wnt9,1,0,2,3,0,0.0595487987518572,0,0.333333333333333
Addax_nasomaculatus,5.59765,Wnt8,2,0,2,4,0,0.0893231981277858,0,0.5
Addax_nasomaculatus,5.59765,Wnt3,0,0,2,2,0,0,0,0
Addax_nasomaculatus,5.59765,Wnt4,0,0,1,1,0,0,0,0
Addax_nasomaculatus,5.59765,Wnt11,0,0,1,1,0,0,0,0
Addax_nasomaculatus,5.59765,Wnt2,0,0,2,2,0,0,0,0
Addax_nasomaculatus,5.59765,Wnt6,0,0,1,1,0,0,0,0
Addax_nasomaculatus,5.59765,Total,8,0,18,26,0,0.0549681219247912,0,0.307692307692308
Addax_nasomaculatus,5.59765,Wnt10,1,0,2,3,0,0.0595487987518572,0,0.333333333333333
Addax_nasomaculatus,5.59765,Wnt1,0,0,1,1,0,0,0,0
Addax_nasomaculatus,5.59765,Wnt5,1,0,2,3,0,0.0595487987518572,0,0.333333333333333
Addax_nasomaculatus,5.59765,Wnt16,1,0,1,2,0,0.0893231981277858,0,0.5
Aeorestes_cinereus,22.4769,Wnt16,0,0,1,1,0,0,0,0
Aeorestes_cinereus,22.4769,Wnt11,1,0,1,2,0,0.0222450604843195,0,0.5
Aeorestes_cinereus,22.4769,Wnt2,2,0,2,4,0,0.0222450604843195,0,0.5
Aeorestes_cinereus,22.4769,Wnt10,2,0,2,4,0,0.0222450604843195,0,0.5
Aeorestes_cinereus,22.4769,Wnt1,2,0,1,3,0,0.0296600806457593,0,0.666666666666667
Aeorestes_cinereus,22.4769,Wnt3,1,0,2,3,0,0.0148300403228796,0,0.333333333333333
Aeorestes_cinereus,22.4769,Wnt9,2,0,2,4,0,0.0222450604843195,0,0.5
Aeorestes_cinereus,22.4769,Total,19,0,19,38,0,0.0222450604843195,0,0.5
Aeorestes_cinereus,22.4769,Wnt6,2,0,1,3,0,0.0296600806457593,0,0.666666666666667
Aeorestes_cinereus,22.4769,Wnt5,2,0,2,4,0,0.0222450604843195,0,0.5
Aeorestes_cinereus,22.4769,Wnt8,2,0,2,4,0,0.0222450604843195,0,0.5
Aeorestes_cinereus,22.4769,Wnt4,1,0,1,2,0,0.0222450604843195,0,0.5
Aeorestes_cinereus,22.4769,Wnt7,2,0,2,4,0,0.0222450604843195,0,0.5
Ailuropoda_melanoleuca,15.2289,Wnt3,1,0,2,3,0,0.0218882081656149,0,0.333333333333333
Ailuropoda_melanoleuca,15.2289,Wnt11,1,0,1,2,0,0.0328323122484224,0,0.5
Ailuropoda_melanoleuca,15.2289,Wnt10,1,0,1,2,0,0.0328323122484224,0,0.5
Ailuropoda_melanoleuca,15.2289,Wnt9,0,0,2,2,0,0,0,0
Ailuropoda_melanoleuca,15.2289,Wnt6,2,0,0,2,0,0.0656646244968448,0,1
Ailuropoda_melanoleuca,15.2289,Wnt1,1,0,1,2,0,0.0328323122484224,0,0.5
Ailuropoda_melanoleuca,15.2289,Wnt16,0,0,1,1,0,0,0,0
Ailuropoda_melanoleuca,15.2289,Wnt2,1,0,2,3,0,0.0218882081656149,0,0.333333333333333
Ailuropoda_melanoleuca,15.2289,Wnt7,1,0,2,3,0,0.0218882081656149,0,0.333333333333333
Ailuropoda_melanoleuca,15.2289,Total,10,0,16,26,0,0.0252556248064788,0,0.384615384615385
Ailuropoda_melanoleuca,15.2289,Wnt4,1,0,0,1,0,0.0656646244968448,0,1
Ailuropoda_melanoleuca,15.2289,Wnt5,0,0,2,2,0,0,0,0
Ailuropoda_melanoleuca,15.2289,Wnt8,1,0,2,3,0,0.0218882081656149,0,0.333333333333333
Ailurus_styani,28.0518,Wnt4,1,0,1,2,0,0.0178241681460726,0,0.5
Ailurus_styani,28.0518,Wnt7,4,0,1,5,0,0.0285186690337162,0,0.8
Ailurus_styani,28.0518,Wnt5,2,0,1,3,0,0.0237655575280968,0,0.666666666666667
Ailurus_styani,28.0518,Wnt9,2,0,2,4,0,0.0178241681460726,0,0.5
Ailurus_styani,28.0518,Wnt8,0,0,2,2,0,0,0,0
Ailurus_styani,28.0518,Wnt3,3,0,1,4,0,0.0267362522191089,0,0.75
Ailurus_styani,28.0518,Wnt10,2,0,1,3,0,0.0237655575280968,0,0.666666666666667
Ailurus_styani,28.0518,Wnt1,0,0,1,1,0,0,0,0
Ailurus_styani,28.0518,Total,17,0,14,31,0,0.0195490876440797,0,0.548387096774194
Ailurus_styani,28.0518,Wnt2,1,0,2,3,0,0.0118827787640484,0,0.333333333333333
Ailurus_styani,28.0518,Wnt11,1,0,1,2,0,0.0178241681460726,0,0.5
Ailurus_styani,28.0518,Wnt16,0,0,1,1,0,0,0,0
Ailurus_styani,28.0518,Wnt6,1,0,0,1,0,0.0356483362921452,0,1
Alces_alces,11.1219,Wnt4,2,0,1,3,0,0.0599417965155834,0,0.666666666666667
Alces_alces,11.1219,Wnt10,2,0,2,4,0,0.0449563473866875,0,0.5
Alces_alces,11.1219,Wnt5,2,0,2,4,0,0.0449563473866875,0,0.5
Alces_alces,11.1219,Wnt6,1,0,1,2,0,0.0449563473866875,0,0.5
Alces_alces,11.1219,Wnt1,1,0,1,2,0,0.0449563473866875,0,0.5
Alces_alces,11.1219,Total,14,0,19,33,0,0.0381447796008258,0,0.424242424242424
Alces_alces,11.1219,Wnt3,1,0,2,3,0,0.0299708982577917,0,0.333333333333333
Alces_alces,11.1219,Wnt2,2,0,2,4,0,0.0449563473866875,0,0.5
Alces_alces,11.1219,Wnt11,1,0,1,2,0,0.0449563473866875,0,0.5
Alces_alces,11.1219,Wnt16,0,0,1,1,0,0,0,0
